x,y
0,231889.947658444
0.5,330712.716505225
1,426145.236586559
1.5,565631.502676095
2,762308.854082813
2.5,994928.370333688
3,1275401.19815841
3.5,1603413.59134702
4,2027840.51459925
4.5,2668302.83009904
5,3475472.93714754
5.5,4323851.9296492
6,5179638.55306432
6.5,6057315.54232614
7,6889945.24813013
7.5,7514111.81112437
8,7879179.91086824
8.5,8023548.88256194
9,8060360.42308157
